state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrivals_in_tonnes
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-07-07,3759,4865,4270,141.6
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-07-07,11734,15178,13324,46.7
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-07-07,11033,14420,12597,40.6
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2023-07-07,2612,3053,2816,907.6
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-07-08,13411,16370,14777,76.8
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-07-08,11331,13908,12521,79.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-07-08,3943,5075,4466,129.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-07-08,1774,2152,1949,116.7
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-07-08,2091,2569,2312,103.0
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-07-08,2173,2594,2368,104.1
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2023-07-08,12937,15519,14129,37.7
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2023-07-08,13204,15790,14398,38.5
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-07-08,8790,10800,9718,36.4
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-07-08,8064,9991,8954,35.9
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-07-08,10331,12830,11485,47.3
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2023-07-08,10378,12912,11548,38.8
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-07-08,10972,13679,12222,33.5
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2023-07-08,5733,6764,6209,89.5
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-07-08,2884,3613,3221,699.5
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-07-08,3129,3973,3519,472.8
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2023-07-08,4496,5457,4940,110.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2023-07-08,4443,5447,4907,112.7
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2023-07-08,2251,2779,2495,291.5
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2023-07-08,1988,2504,2227,396.0
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-07-08,3595,4402,3968,819.1
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2023-07-08,3865,4609,4209,994.2
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2023-07-08,3967,4661,4288,154.0
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-07-08,3478,4394,3901,156.0
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-07-08,4107,5178,4602,151.4
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2023-07-08,10867,13751,12199,51.2
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-07-08,11408,14148,12673,55.7
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2023-07-08,2410,3120,2738,1220.7
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-07-10,13098,16861,14835,65.1
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-07-10,12733,16712,14570,66.0
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-07-10,4101,5329,4668,92.5
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-07-10,4151,4947,4519,126.8
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-07-10,1674,2083,1863,91.6
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-07-10,1683,1998,1829,87.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-07-10,3671,4733,4162,57.8
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-07-10,3667,4686,4138,65.0
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-07-10,3738,4623,4147,74.4
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-07-10,2187,2819,2479,71.0
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2023-07-10,2108,2482,2281,101.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2023-07-10,9268,12023,10540,42.6
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-07-10,9074,10659,9806,35.6
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-07-10,10619,13196,11809,48.5
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-07-10,11118,13114,12040,40.5
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2023-07-10,5096,6122,5570,98.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-07-10,3393,4222,3776,512.2
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-07-10,3214,4173,3657,478.9
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-07-10,3004,3844,3392,611.1
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2023-07-10,4507,5550,4989,94.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2023-07-10,4266,5531,4850,116.9
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2023-07-10,4157,5167,4624,110.2
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2023-07-10,2191,2599,2380,270.9
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2023-07-10,2035,2475,2239,404.2
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2023-07-10,2317,2843,2560,346.8
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-07-10,3529,4576,4013,736.6
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2023-07-10,4060,5142,4560,160.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-07-10,3862,4860,4323,128.9
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2023-07-10,3545,4701,4079,139.9
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-07-10,3674,4577,4091,166.0
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2023-07-10,12829,15852,14225,37.2
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-07-10,12023,15441,13601,52.5
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-07-10,12324,14693,13418,38.7
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2023-07-10,2631,3366,2971,895.8
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2023-07-10,2524,2980,2735,922.9
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2023-07-10,2542,3085,2793,884.0
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-07-11,13124,16102,14499,85.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-07-11,4072,5354,4664,109.0
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-07-11,4025,5049,4498,132.1
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-07-11,4008,4802,4375,129.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-07-11,1889,2315,2086,77.7
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-07-11,1663,2112,1871,106.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-07-11,3368,4379,3835,69.6
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-07-11,3578,4357,3938,71.4
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-07-11,2320,2969,2620,80.0
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-07-11,2151,2787,2445,75.3
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-07-11,8689,11438,9958,33.6
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2023-07-11,9770,11520,10578,39.8
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-07-11,8878,11797,10226,34.0
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-07-11,12611,15046,13735,30.9
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-07-11,11297,14318,12692,33.4
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2023-07-11,5664,7160,6355,91.4
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2023-07-11,6571,7729,7106,84.6
Tamil Nadu,Salem,Salem Fruit Market,Mango,Alphonso / Neelam,2023-07-11,5251,6493,5825,97.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-07-11,3468,4398,3898,450.8
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-07-11,3123,3963,3511,607.8
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-07-11,2983,3528,3235,504.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2023-07-11,4917,6032,5432,83.6
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2023-07-11,5184,6093,5604,92.3
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2023-07-11,2284,2909,2573,356.1
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2023-07-11,2096,2537,2300,280.1
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2023-07-11,2121,2564,2326,316.0
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-07-11,3765,4453,4083,962.8
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2023-07-11,3939,4915,4390,863.5
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-07-11,4118,5337,4681,129.1
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-07-11,12670,14991,13742,50.3
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-07-11,11079,13396,12149,57.9
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2023-07-11,2699,3374,3011,910.0
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2023-07-11,2569,3304,2909,1028.8
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-07-12,12803,15123,13874,66.9
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-07-12,11681,15166,13290,83.4
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-07-12,3956,5146,4506,122.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-07-12,1713,2037,1863,116.2
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-07-12,1749,2277,1993,87.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-07-12,3813,4537,4148,65.7
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-07-12,3603,4640,4082,63.6
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2023-07-12,12650,14913,13695,28.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2023-07-12,8822,10405,9553,41.1
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-07-12,8173,10329,9169,44.9
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-07-12,11471,14457,12850,38.2
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2023-07-12,11074,14685,12741,40.4
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-07-12,10399,13447,11806,49.7
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2023-07-12,6396,8468,7353,85.5
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2023-07-12,4953,5862,5373,84.2
Tamil Nadu,Salem,Salem Fruit Market,Mango,Alphonso / Neelam,2023-07-12,6152,7691,6863,74.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-07-12,3659,4284,3948,469.9
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-07-12,2952,3646,3273,632.4
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2023-07-12,5324,6296,5773,95.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2023-07-12,4756,5619,5155,96.2
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2023-07-12,4254,5527,4842,81.4
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2023-07-12,2114,2601,2339,379.1
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2023-07-12,2040,2535,2269,343.6
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2023-07-12,4050,4740,4369,794.1
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2023-07-12,3949,5061,4463,941.8
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-07-12,3898,5132,4468,140.1
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2023-07-12,3750,4727,4201,127.5
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2023-07-12,3894,5000,4405,156.2
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-07-12,11829,15338,13449,48.3
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-07-13,12175,15107,13529,70.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-07-13,4357,5452,4863,100.6
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-07-13,4361,5166,4733,94.2
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-07-13,4334,5369,4812,119.4
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-07-13,1871,2190,2019,81.5
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-07-13,1749,2073,1899,96.1
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-07-13,1648,2063,1840,112.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-07-13,3568,4544,4019,72.1
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-07-13,3610,4612,4073,65.7
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-07-13,2436,2875,2639,82.7
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-07-13,2180,2883,2505,69.8
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2023-07-13,2444,2967,2686,83.8
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-07-13,13399,16229,14706,33.5
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2023-07-13,13429,17338,15234,30.8
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-07-13,8228,9648,8884,37.9
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-07-13,9348,11957,10553,38.1
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2023-07-13,10691,13680,12071,46.4
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-07-13,10630,12770,11618,35.0
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2023-07-13,5132,6403,5719,91.8
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2023-07-13,3163,3961,3532,543.6
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-07-13,3616,4366,3963,491.2
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2023-07-13,2101,2718,2386,337.2
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2023-07-13,2082,2642,2341,376.1
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2023-07-13,1954,2400,2160,379.0
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-07-13,3700,4670,4148,993.3
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2023-07-13,3913,4880,4360,958.9
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2023-07-13,3384,4321,3817,135.3
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2023-07-13,12475,15759,13991,40.6
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-07-13,11972,15134,13432,45.7
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-07-13,10940,14085,12392,47.9
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2023-07-13,2695,3195,2926,949.2
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2023-07-13,2466,3195,2803,996.0
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2023-07-13,2433,3179,2778,1129.0
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-07-14,11706,14809,13139,87.6
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-07-14,13057,15529,14198,86.7
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-07-14,12599,15092,13750,80.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-07-14,4099,5218,4616,125.0
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-07-14,4214,5117,4631,111.4
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-07-14,4007,4758,4354,108.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-07-14,1765,2178,1956,110.5
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-07-14,1603,1945,1761,114.0
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-07-14,3339,4276,3772,82.1
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-07-14,3449,4577,3970,62.0
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-07-14,2156,2737,2425,76.4
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2023-07-14,2427,2872,2633,80.7
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2023-07-14,12288,15320,13688,29.5
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-07-14,11892,14831,13249,40.3
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-07-14,8062,9452,8704,48.7
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-07-14,8389,10615,9417,36.7
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-07-14,10269,12021,11078,44.6
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-07-14,11064,13283,12089,41.8
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2023-07-14,5637,7079,6303,100.1
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2023-07-14,4983,6233,5560,89.1
Tamil Nadu,Salem,Salem Fruit Market,Mango,Alphonso / Neelam,2023-07-14,6404,7740,7021,91.1
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2023-07-14,2842,3584,3185,686.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-07-14,3428,4228,3798,600.7
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-07-14,2688,3261,2953,689.1
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-07-14,3549,4217,3858,555.9
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2023-07-14,4432,5635,4988,103.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2023-07-14,4506,5643,5031,90.3
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2023-07-14,4769,5593,5150,97.7
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2023-07-14,2103,2539,2305,332.6
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2023-07-14,2033,2636,2312,278.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2023-07-14,1979,2565,2250,300.9
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-07-14,3580,4421,3969,788.3
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2023-07-14,3781,4940,4316,124.5
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2023-07-14,11311,13639,12386,52.3
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-07-14,11742,14302,12924,53.4
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-07-14,11783,15038,13286,39.3
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2023-07-14,2489,3183,2810,838.4
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2023-07-14,2548,3017,2765,825.1
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-07-15,12380,14985,13583,72.8
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-07-15,11318,14897,12970,78.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-07-15,3957,5015,4446,132.9
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-07-15,4050,5080,4526,105.3
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-07-15,3804,4760,4246,106.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-07-15,1850,2241,2031,93.5
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-07-15,1569,1943,1742,113.9
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-07-15,1624,1980,1789,98.1
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-07-15,3402,4274,3805,78.1
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-07-15,3558,4179,3845,61.9
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-07-15,1968,2446,2189,80.7
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-07-15,2204,2736,2450,70.6
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-07-15,12631,14915,13686,29.5
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-07-15,8350,10182,9196,44.0
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2023-07-15,9636,12462,10941,39.5
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-07-15,9208,11009,10040,39.8
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-07-15,10880,13639,12154,46.1
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2023-07-15,5375,6895,6077,95.6
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2023-07-15,4853,6391,5563,107.0
Tamil Nadu,Salem,Salem Fruit Market,Mango,Alphonso / Neelam,2023-07-15,7017,8609,7752,88.8
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2023-07-15,3405,4052,3704,455.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-07-15,3111,3998,3521,674.8
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-07-15,2845,3578,3184,520.1
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2023-07-15,4440,5698,5021,83.8
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2023-07-15,2003,2602,2280,288.2
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2023-07-15,2009,2465,2220,387.1
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2023-07-15,2103,2511,2292,385.4
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2023-07-15,1847,2305,2059,425.8
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2023-07-15,3666,4733,4159,819.0
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2023-07-15,3229,4019,3594,163.9
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2023-07-15,3530,4337,3903,182.9
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-07-15,3409,4519,3922,158.2
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2023-07-15,11715,15423,13427,43.2
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-07-15,10995,14035,12399,54.3
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-07-15,10564,13867,12089,48.4
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2023-07-15,2603,3069,2819,997.0
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-07-17,12298,15279,13674,86.3
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-07-17,11684,14994,13212,64.0
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-07-17,4241,5483,4815,91.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-07-17,1628,2076,1835,109.9
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-07-17,1494,1850,1659,113.5
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-07-17,1645,2034,1825,89.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-07-17,3436,4519,3936,76.6
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-07-17,3417,4408,3875,78.6
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-07-17,2279,2871,2553,80.8
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-07-17,2133,2739,2413,89.5
